Time,Cutting_Produced,Cutting_Resource,Folding_Produced,Folding_Resource,Bonding_Produced,Bonding_Resource,Labeling_Produced,Labeling_Resource,Kanban_Cutting,Kanban_Folding,Kanban_Bonding,Kanban_Labeling
95.26096296310425,0,25,0,77,0,81,11,70,1,1,1,1
96.41079783439636,0,25,0,77,0,81,11,70,1,1,1,1
97.53108835220337,0,25,0,77,0,81,11,70,1,1,1,1
98.67067551612854,0,25,0,77,0,81,11,70,1,1,1,1
99.8307728767395,0,25,0,77,0,81,11,70,1,1,1,1
100.97201561927795,0,25,0,77,0,81,11,70,1,1,1,1
102.11122488975525,0,25,0,77,0,81,11,70,1,1,1,1
103.22724270820618,0,24,0,78,0,81,11,70,1,1,1,1
104.34047651290894,0,24,0,78,0,81,12,69,1,1,1,1
105.46541547775269,0,24,0,78,0,81,12,69,1,1,1,1
106.61088299751282,0,24,0,78,0,81,12,69,1,1,1,1
107.75033712387085,0,24,0,78,0,81,12,69,1,1,1,1
108.89049625396729,0,24,0,78,0,81,12,69,1,1,1,1
110.03066444396973,0,24,0,78,0,81,12,69,1,1,1,1
111.15398693084717,0,24,0,78,0,80,13,69,1,1,1,1
112.27884936332703,0,24,0,78,0,80,13,69,1,1,1,1
113.40496325492859,0,24,0,78,0,80,13,69,1,1,1,1
114.53750085830688,0,24,0,78,0,80,13,69,1,1,1,1
115.67750453948975,0,24,0,78,0,80,13,69,1,1,1,1
116.79543042182922,0,24,0,78,0,80,13,69,1,1,1,1
117.91347026824951,0,24,0,78,0,80,14,68,1,1,1,1
119.03827214241028,0,24,0,78,0,80,14,68,1,1,1,1
120.15876364707947,0,24,0,78,0,80,14,68,1,1,1,1
121.29621171951294,0,24,0,78,0,80,14,68,1,1,1,1
122.42090225219727,0,24,0,77,0,81,14,68,1,1,1,1
123.5391321182251,0,24,0,77,0,81,14,68,1,1,1,1
124.66169714927673,0,24,0,77,0,81,14,68,1,1,1,1
125.86006498336792,0,24,0,77,0,81,15,67,1,1,1,1
126.98765087127686,0,24,0,77,0,81,15,67,1,1,1,1
128.12294220924377,0,24,0,77,0,81,15,67,1,1,1,1
129.25029349327087,0,24,0,77,0,81,15,67,1,1,1,1
130.37161135673523,0,24,0,77,0,81,15,67,1,1,1,1
131.50723910331726,0,24,0,77,0,81,15,67,1,1,1,1
132.6448175907135,0,24,0,77,0,81,16,66,1,1,1,1
133.76842784881592,0,24,0,77,0,80,16,67,1,1,1,1
134.9051375389099,0,24,0,77,0,80,16,67,1,1,1,1
136.03817057609558,0,24,0,77,0,80,16,67,1,1,1,1
137.17712593078613,0,24,0,77,0,80,16,67,1,1,1,1
138.2961344718933,0,24,0,77,0,80,16,67,1,1,1,1
139.43155789375305,0,24,0,77,0,80,16,67,1,1,1,1
140.55543661117554,0,24,0,77,0,80,17,66,1,1,1,1
141.69327545166016,0,24,0,77,0,80,17,66,1,1,1,1
142.81410932540894,0,24,0,77,0,80,17,66,1,1,1,1
143.9466598033905,0,24,0,77,0,80,17,66,1,1,1,1
145.06717777252197,0,24,0,77,0,80,17,66,1,1,1,1
146.19444060325623,0,24,0,77,0,80,17,66,1,1,1,1
147.32733798027039,0,24,0,77,0,80,18,65,1,1,1,1
148.45978617668152,0,24,0,77,0,80,18,65,1,1,1,1
149.57756543159485,0,24,0,77,0,80,18,65,1,1,1,1
150.70258617401123,0,24,0,77,0,80,18,65,1,1,1,1
151.83552646636963,0,24,0,77,0,80,18,65,1,1,1,1
152.96013259887695,0,24,0,77,0,80,18,65,1,1,1,1
154.07970714569092,0,24,0,77,0,80,19,64,1,1,1,1
155.22611951828003,0,24,0,77,0,80,19,64,1,1,1,1
156.3538420200348,0,24,0,77,0,80,19,64,1,1,1,1
157.47879552841187,0,24,0,77,0,79,19,65,1,1,1,1
158.59847903251648,0,24,0,77,0,79,19,65,1,1,1,1
159.71966338157654,0,24,0,77,0,79,19,65,1,1,1,1
160.84563064575195,0,24,0,77,0,79,20,64,1,1,1,1
161.96766829490662,0,24,0,77,0,79,20,64,1,1,1,1
163.08728194236755,0,24,0,76,0,80,20,64,1,1,1,1
164.8798348903656,0,24,0,76,0,80,20,64,1,1,1,1
166.00113248825073,0,24,0,76,0,80,20,64,1,1,1,1
167.12236046791077,0,24,0,76,0,80,20,64,1,1,1,1
168.24331521987915,0,24,0,76,0,80,21,63,1,1,1,1
169.36646699905396,0,24,0,76,0,80,21,63,1,1,1,1
170.49707436561584,0,24,0,76,0,80,21,63,1,1,1,1
171.6263723373413,0,24,0,76,0,80,21,63,1,1,1,1
172.74804067611694,0,24,0,76,0,80,21,63,1,1,1,1
173.87869811058044,0,24,0,76,0,80,22,62,1,1,1,1
